company_name,stock_symbol,market_value,total_shares,shares_outstanding,par_value,price_to_book,dividend_yield,enterprise_value,sector,industry
شركة اللجين,2170,2719.56,69.2,52.14,10.0,0.75,0.0,3058.65,Basic Materials,
شركة تصنيع مواد التعبئة والتغليف,2180,518.08,11.5,12.79,10.0,3.52,2.22,575.27,Consumer Cyclical,
الشركة العربية للأنابيب,2200,1752.0,15.0,25.92,10.0,4.51,0.0,2146.92,Basic Materials,Steel
شركة نماء للكيماويات,2210,618.58,23.52,8.52,10.0,3.09,0.0,1141.7,Basic Materials,Chemicals
الشركة الوطنية لتصنيع وسبك المعادن,2220,620.21,35.4,7.24,10.0,2.42,0.0,599.48,Basic Materials,
شركة الزامل للإستثمار الصناعي,2240,1626.0,60.0,7.47,10.0,3.63,0.0,3418.79,Industrials,
المجموعة السعودية للإستثمار الصناعي,2250,13284.48,754.8,13.03,10.0,1.35,5.68,12829.53,Basic Materials,
شركة ينبع الوطنية للبتروكيماويات,2290,22415.63,562.5,20.94,10.0,1.9,4.39,19706.05,Basic Materials,
الشركة السعودية لصناعة الورق,2300,2287.22,37.07,13.8,10.0,4.47,0.74,2721.32,Consumer Defensive,
شركة الصحراء العالمية للبتروكيماويات,2310,19213.25,733.33,21.28,10.0,1.23,7.63,20729.18,Basic Materials,
الشركة المتقدمة للبتروكيماويات,2330,9204.0,260.0,12.35,10.0,2.87,0.0,17245.15,Basic Materials,Chemicals
شركة كيان السعودية للبتروكيماويات,2350,11265.0,1500.0,8.1,10.0,0.93,0.0,19925.11,Basic Materials,Chemicals
شركة أسمنت نجران,3002,1601.4,170.0,12.05,10.0,0.78,0.0,1913.93,Basic Materials,Building Materials
شركة أسمنت المدينة,3003,2489.2,140.0,12.52,10.0,1.42,4.49,2095.4,Basic Materials,
شركة أسمنت المنطقة الشمالية,3004,1625.4,180.0,12.65,10.0,0.71,2.77,2433.17,Basic Materials,
شركة أسمنت ام القرى,3005,991.1,55.0,14.66,10.0,1.23,0.0,1247.6,Basic Materials,
شركة الأسمنت العربية,3010,2615.0,100.0,25.35,10.0,1.03,5.74,2728.41,Basic Materials,
شركة أسمنت اليمامة,3020,6469.88,202.5,23.84,10.0,1.34,3.14,8049.48,Basic Materials,
شركة الأسمنت السعودية,3030,6211.8,153.0,13.83,10.0,2.94,6.16,6635.9,Basic Materials,
